,id,note__user__username,note__text,docstatement__text,docstatement__id,docstatement__technology__name
0,50239,,,"These sensitivity cases (LimBio) are very relevant also for the emission pathways, since they limit the potential for negative emissions from Bio-CCS that can possibly compensate in the long term for overshoots of near-term emission targets or budgets, thus inhibiting such near-term overshoots.",151.0,H7_Lim_tech
1,50239,,,"These sensitivity cases (LimBio) are very relevant also for the emission pathways, since they limit the potential for negative emissions from Bio-CCS that can possibly compensate in the long term for overshoots of near-term emission targets or budgets, thus inhibiting such near-term overshoots.",151.0,O1_Overshoot
2,50258,,,"Limiting the potential for global net-negative emissions provided by combining modern-biomass energy systems with carbon capture and storage requires earlier CO2 emission reductions, hence leads to lower CO2 concentrations in early decades. Even in these scenarios, however, end-of-century concentrations converge with the optimal scenario, although the rate of decline is lower by that time.",152.0,H7_Lim_tech
3,50258,,,"Limiting the potential for global net-negative emissions provided by combining modern-biomass energy systems with carbon capture and storage requires earlier CO2 emission reductions, hence leads to lower CO2 concentrations in early decades. Even in these scenarios, however, end-of-century concentrations converge with the optimal scenario, although the rate of decline is lower by that time.",152.0,D1_Dynamics
4,50326,hilj,    abstract    ,The results also show the critical role ofBECCS for achieving low radiative forcing targets in IMAGE. Without these technologies achieving these targets become much more expensive or even infeasible.,154.0,H2_2C
5,50326,hilj,    abstract    ,The results also show the critical role ofBECCS for achieving low radiative forcing targets in IMAGE. Without these technologies achieving these targets become much more expensive or even infeasible.,154.0,R1_Important
6,50326,hilj,    abstract    ,limited bio-energy availability reduces the optimal 2020 emission level by more than 4 GtCO2eq in order to compensate the reduced availability of negative emissions from bioenergy and carbon capture and storage (BECCS) in the long run.,155.0,D1_Dynamics
7,50341,,,"Limiting the use of biofuels has by far the largest effect on timing. In the LimBio scenario, there is less potential for bioenergy with carbon capture and sequestration (BECCS), which reduces the potential for negative emissions in the long term (see Van Vuuren et al. 2013). As a result, the model compensates the lack of long-term mitigation potential by higher short-term emission reductions.",156.0,D1_Dynamics
8,50344,,,"The 550 ppm target gives some insight into the consequences of restricting CCS for timing of emission reductions (this scenario was infeasible for the 450 ppm target). The effect in timing is strong: as CCS is deployed on a large scale in the long run under the default Alltech scenario, much lower 2020 emission levels are required in case CCS is not available. The difference is almost 4 GtCO2eq by 2020. Under the 550 ppm target, limiting bioenergy has a much smaller impact on timing than under the 450 ppm target (given the lower dependence on BECCS).",157.0,H2_2C
9,50344,,,"The 550 ppm target gives some insight into the consequences of restricting CCS for timing of emission reductions (this scenario was infeasible for the 450 ppm target). The effect in timing is strong: as CCS is deployed on a large scale in the long run under the default Alltech scenario, much lower 2020 emission levels are required in case CCS is not available. The difference is almost 4 GtCO2eq by 2020. Under the 550 ppm target, limiting bioenergy has a much smaller impact on timing than under the 450 ppm target (given the lower dependence on BECCS).",157.0,D1_Dynamics
