Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Marcucci, A., Kypreos, S., Panos, E.","The road to achieving the long-term Paris targets: energy transition and the role of direct air capture",2017,"Climatic Change","144","2",,"181","193",,,10.1007/s10584-017-2051-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027839992&doi=10.1007%2fs10584-017-2051-8&partnerID=40&md5=6ed3cc0b2a0d3783f6b434148321ea25",Article,Scopus,2-s2.0-85027839992
"Deng, H., Bielicki, J.M., Oppenheimer, M., Fitts, J.P., Peters, C.A.","Leakage risks of geologic CO<inf>2</inf> storage and the impacts on the global energy system and climate change mitigation",2017,"Climatic Change","144","2",,"151","163",,,10.1007/s10584-017-2035-8,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026904476&doi=10.1007%2fs10584-017-2035-8&partnerID=40&md5=21ccf07aabcd72ec7504bbc1c4dc3d61",Article,Scopus,2-s2.0-85026904476
"Favero, A., Mendelsohn, R., Sohngen, B.","Using forests for climate mitigation: sequester carbon or produce woody biomass?",2017,"Climatic Change","144","2",,"195","206",,,10.1007/s10584-017-2034-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026497772&doi=10.1007%2fs10584-017-2034-9&partnerID=40&md5=273c45a9626e679ef99200224a80cdc8",Article,Scopus,2-s2.0-85026497772
"Selosse, S., Ricci, O.","Carbon capture and storage: Lessons from a storage potential and localization analysis",2017,"Applied Energy","188",,,"32","44",,4,10.1016/j.apenergy.2016.11.117,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003467500&doi=10.1016%2fj.apenergy.2016.11.117&partnerID=40&md5=420aefb729d9131dd71dc0ee44fae6f3",Article,Scopus,2-s2.0-85003467500
"Fujimori, S., Hasegawa, T., Masui, T., Takahashi, K., Herran, D.S., Dai, H., Hijioka, Y., Kainuma, M.","SSP3: AIM implementation of Shared Socioeconomic Pathways",2017,"Global Environmental Change","42",,,"268","283",,14,10.1016/j.gloenvcha.2016.06.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85004130326&doi=10.1016%2fj.gloenvcha.2016.06.009&partnerID=40&md5=95f20e207375ce8027661002b80f1d6d",Article,Scopus,2-s2.0-85004130326
"Calvin, K., Bond-Lamberty, B., Clarke, L., Edmonds, J., Eom, J., Hartin, C., Kim, S., Kyle, P., Link, R., Moss, R., McJeon, H., Patel, P., Smith, S., Waldhoff, S., Wise, M.","The SSP4: A world of deepening inequality",2017,"Global Environmental Change","42",,,"284","296",,10,10.1016/j.gloenvcha.2016.06.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979681457&doi=10.1016%2fj.gloenvcha.2016.06.010&partnerID=40&md5=953ac8d7b968776a4687f05c3b1ac3e1",Article,Scopus,2-s2.0-84979681457
"Bauer, N., Calvin, K., Emmerling, J., Fricko, O., Fujimori, S., Hilaire, J., Eom, J., Krey, V., Kriegler, E., Mouratiadou, I., Sytze de Boer, H., van den Berg, M., Carrara, S., Daioglou, V., Drouet, L., Edmonds, J.E., Gernaat, D., Havlik, P., Johnson, N., Klein, D., Kyle, P., Marangoni, G., Masui, T., Pietzcker, R.C., Strubegger, M., Wise, M., Riahi, K., van Vuuren, D.P.","Shared Socio-Economic Pathways of the Energy Sector – Quantifying the Narratives",2017,"Global Environmental Change","42",,,"316","330",,9,10.1016/j.gloenvcha.2016.07.006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84990019816&doi=10.1016%2fj.gloenvcha.2016.07.006&partnerID=40&md5=b68285613977f9f82e1318e2bea6d911",Article,Scopus,2-s2.0-84990019816
"Kriegler, E., Bauer, N., Popp, A., Humpenöder, F., Leimbach, M., Strefler, J., Baumstark, L., Bodirsky, B.L., Hilaire, J., Klein, D., Mouratiadou, I., Weindl, I., Bertram, C., Dietrich, J.-P., Luderer, G., Pehl, M., Pietzcker, R., Piontek, F., Lotze-Campen, H., Biewald, A., Bonsch, M., Giannousakis, A., Kreidenweis, U., Müller, C., Rolinski, S., Schultes, A., Schwanitz, J., Stevanovic, M., Calvin, K., Emmerling, J., Fujimori, S., Edenhofer, O.","Fossil-fueled development (SSP5): An energy and resource intensive scenario for the 21st century",2017,"Global Environmental Change","42",,,"297","315",,9,10.1016/j.gloenvcha.2016.05.015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995917657&doi=10.1016%2fj.gloenvcha.2016.05.015&partnerID=40&md5=f3d7cce5029003645b166767ba458ca0",Article,Scopus,2-s2.0-84995917657
"Fujimori, S., Su, X., Liu, J.-Y., Hasegawa, T., Takahashi, K., Masui, T., Takimi, M.","Implication of Paris Agreement in the context of long-term climate mitigation goals",2016,"SpringerPlus","5","1", 1620,"","",,3,10.1186/s40064-016-3235-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988353473&doi=10.1186%2fs40064-016-3235-9&partnerID=40&md5=649e6de40f78bb7dfed5f797bb6d68b8",Article,Scopus,2-s2.0-84988353473
"Vaughan, N.E., Gough, C.","Expert assessment concludes negative emissions scenarios may not deliver",2016,"Environmental Research Letters","11","9", 095003,"","",,2,10.1088/1748-9326/11/9/095003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992084037&doi=10.1088%2f1748-9326%2f11%2f9%2f095003&partnerID=40&md5=dae13bb9fdf67374074d049a3d5a9365",Article,Scopus,2-s2.0-84992084037
